Geo Place Name,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Bronx,11.1,10.1,10.8,9.5,9.1,9.3,9.2,7.8,7.7,7.3,6.9,6.1,6.6,6.1
Brooklyn,10.5,9.7,10.2,9.0,8.7,9.1,8.7,7.8,7.5,7.2,6.7,6.1,6.6,5.8
Manhattan,12.6,11.6,11.9,10.9,10.7,10.9,10.2,9.0,8.7,8.5,8.3,7.2,7.4,7.0
Queens,10.1,9.2,9.8,8.6,8.4,8.6,8.4,7.2,7.2,6.8,6.5,6.1,6.5,5.7
Staten Island,9.8,8.8,9.4,8.4,8.0,8.4,7.7,6.8,6.8,6.4,5.9,5.5,6.2,5.2
